%wavelength	Tomato	Lettuce	Butter
0.3754	0.0513	0.3385	0.6872
0.379	0.0513	0.3103	0.6692
0.3826	0.0513	0.2897	0.6487
0.3863	0.0513	0.2692	0.6308
0.3899	0.0513	0.2564	0.6154
0.3935	0.0513	0.2487	0.5974
0.3971	0.0513	0.241	0.5795
0.4008	0.0513	0.2359	0.5564
0.4044	0.0513	0.2282	0.5308
0.408	0.0513	0.2205	0.5077
0.4117	0.0513	0.2128	0.4846
0.4153	0.0513	0.2077	0.4615
0.4189	0.0513	0.2051	0.441
0.4226	0.0513	0.2051	0.4179
0.4262	0.0513	0.2051	0.4
0.4298	0.0513	0.2051	0.3795
0.4335	0.0513	0.2051	0.3615
0.4371	0.0513	0.2103	0.3436
0.4407	0.0513	0.2128	0.3231
0.4443	0.0513	0.2179	0.3077
0.448	0.0513	0.2205	0.3
0.4516	0.0513	0.2256	0.2923
0.4552	0.0513	0.2282	0.2897
0.4589	0.0513	0.2308	0.2821
0.4625	0.0513	0.2333	0.2744
0.4661	0.0513	0.2359	0.2718
0.4698	0.0513	0.2385	0.2744
0.4734	0.0513	0.241	0.2821
0.477	0.0513	0.2436	0.2923
0.4807	0.0513	0.2436	0.3128
0.4843	0.0513	0.2462	0.3231
0.4879	0.0513	0.2487	0.3231
0.4915	0.0513	0.2513	0.3231
0.4952	0.0513	0.2513	0.3231
0.4988	0.0513	0.2513	0.3231
0.5024	0.0513	0.2538	0.3256
0.5061	0.0513	0.259	0.341
0.5097	0.0513	0.2718	0.3692
0.5133	0.0513	0.2846	0.4051
0.517	0.0538	0.3026	0.441
0.5206	0.0538	0.3205	0.4718
0.5242	0.0538	0.3385	0.5
0.5279	0.0538	0.359	0.5231
0.5315	0.0538	0.3769	0.5487
0.5351	0.0538	0.3923	0.5718
0.5387	0.0538	0.4051	0.5923
0.5424	0.0564	0.4154	0.6103
0.546	0.0564	0.4256	0.6282
0.5496	0.0564	0.4385	0.6436
0.5533	0.0564	0.4513	0.659
0.5569	0.0564	0.459	0.6744
0.5605	0.0564	0.4667	0.6846
0.5642	0.059	0.4692	0.6974
0.5678	0.059	0.4744	0.7077
0.5714	0.059	0.4769	0.7154
0.5751	0.059	0.4795	0.7205
0.5787	0.059	0.4769	0.7256
0.5823	0.0615	0.4744	0.7308
0.5859	0.0692	0.4667	0.7385
0.5896	0.0795	0.459	0.7436
0.5932	0.0923	0.4487	0.7487
0.5968	0.1128	0.4359	0.7513
0.6005	0.1359	0.4256	0.7538
0.6041	0.1615	0.4128	0.7564
0.6077	0.1872	0.4026	0.7564
0.6114	0.2128	0.3897	0.7564
0.615	0.2436	0.3769	0.7564
0.6186	0.2718	0.3641	0.7564
0.6223	0.2974	0.3513	0.759
0.6259	0.3256	0.3385	0.759
0.6295	0.3538	0.3282	0.7615
0.6331	0.3795	0.3179	0.7615
0.6368	0.4051	0.3128	0.7641
0.6404	0.4256	0.3077	0.7641
0.644	0.4462	0.3051	0.7641
0.6477	0.4615	0.3077	0.7641
0.6513	0.4769	0.3103	0.7641
0.6549	0.4949	0.3128	0.7641
0.6586	0.5103	0.3103	0.7641
0.6622	0.5231	0.3051	0.7641
0.6658	0.5385	0.2974	0.7641
0.6695	0.5487	0.2897	0.7641
0.6731	0.559	0.2744	0.7641
0.6767	0.5667	0.259	0.7641
0.6803	0.5744	0.2436	0.7641
0.684	0.5821	0.2308	0.7641
0.6876	0.5897	0.2154	0.7641
0.6912	0.5949	0.2026	0.7641
0.6949	0.6	0.1923	0.7641
0.6985	0.6051	0.1974	0.7641
0.7021	0.6026	0.2103	0.7641
0.7058	0.6051	0.2308	0.7641
0.7094	0.6051	0.259	0.7641
0.713	0.6026	0.2974	0.7641
0.7166	0.6026	0.341	0.7641
0.7203	0.6	0.3872	0.7641
0.7239	0.5974	0.4359	0.7641
0.80	0.5974	0.4359	0.7641
