% time inp1 sine1 sum3 pulse1 sum1 sum2 lim1 filt1 ingr1 sum4 sum5 
0 0.502 0 0.502 0 0.502 0.502 0.502 0.00741872 3.70936e-05 0.502 -2 
0.01 0.504 0 0.504 0 0.504 0.503926 0.503926 0.0220653 0.000184514 0.504 -2 
0.02 0.506 0 0.506 0 0.506 0.505631 0.505631 0.0363327 0.000476504 0.506 -2 
0.03 0.508 0 0.508 0 0.508 0.507047 0.507047 0.0502245 0.000909291 0.508 -2 
0.04 0.51 0 0.51 0 0.51 0.508181 0.508181 0.0637434 0.00147913 0.51 -2 
0.05 0.512 0 0.512 0 0.512 0.509042 0.509042 0.0768923 0.00218231 0.512 -2 
0.06 0.514 0 0.514 0 0.514 0.509635 0.509635 0.0896739 0.00301514 0.514 -2 
0.07 0.516 0 0.516 0 0.516 0.50997 0.50997 0.102092 0.00397397 0.516 -2 
0.08 0.518 0 0.518 0 0.518 0.510052 0.510052 0.114148 0.00505517 0.518 -2 
0.09 0.52 0 0.52 0 0.52 0.50989 0.50989 0.125847 0.00625514 0.52 -2 
0.1 0.522 0 0.522 0 0.522 0.50949 0.50949 0.137193 0.00757034 0.522 -2 
0.11 0.524 0 0.524 0 0.524 0.508859 0.508859 0.148187 0.00899724 0.524 -2 
0.12 0.526 0 0.526 0 0.526 0.508006 0.508006 0.158835 0.0105324 0.526 -2 
0.13 0.528 0 0.528 0 0.528 0.506935 0.506935 0.169139 0.0121722 0.528 -2 
0.14 0.53 0 0.53 0 0.53 0.505656 0.505656 0.179104 0.0139134 0.53 -2 
0.15 0.532 0 0.532 0 0.532 0.504173 0.504173 0.188734 0.0157526 0.532 -2 
0.16 0.534 0 0.534 0 0.534 0.502495 0.502495 0.198033 0.0176865 0.534 -2 
0.17 0.536 0 0.536 0 0.536 0.500627 0.500627 0.207004 0.0197117 0.536 -2 
0.18 0.538 0 0.538 0 0.538 0.498577 0.498577 0.215652 0.0218249 0.538 -2 
0.19 0.54 0 0.54 0 0.54 0.49635 0.49635 0.223982 0.0240231 0.54 -2 
0.2 0.542 0 0.542 0 0.542 0.493954 0.493954 0.231997 0.026303 0.542 -2 
0.21 0.544 0 0.544 0 0.544 0.491394 0.491394 0.239701 0.0286615 0.544 -2 
0.22 0.546 0 0.546 0 0.546 0.488677 0.488677 0.2471 0.0310955 0.546 -2 
0.23 0.548 0 0.548 0 0.548 0.485809 0.485809 0.254198 0.033602 0.548 -2 
0.24 0.55 0 0.55 0 0.55 0.482796 0.482796 0.260999 0.036178 0.55 -2 
0.25 0.552 0 0.552 0 0.552 0.479644 0.479644 0.267508 0.0388205 0.552 -2 
0.26 0.554 0 0.554 0 0.554 0.476359 0.476359 0.27373 0.0415267 0.554 -2 
0.27 0.556 0 0.556 0 0.556 0.472947 0.472947 0.279668 0.0442937 0.556 -2 
0.28 0.558 0 0.558 0 0.558 0.469413 0.469413 0.285329 0.0471187 0.558 -2 
