%wavelength  flradiance
0.3754    0.0587
0.3761    0.0587
0.3768    0.0587
0.3776    0.0587
0.3783    0.0587
0.3790    0.1101
0.3798    0.1101
0.3805    0.1101
0.3812    0.1101
0.3819    0.1101
0.3827    0.1101
0.3834    0.1101
0.3841    0.1615
0.3849    0.1615
0.3856    0.1615
0.3863    0.1615
0.3871    0.1615
0.3878    0.1615
0.3885    0.1615
0.3893    0.2569
0.3900    0.2569
0.3907    0.2569
0.3915    0.2569
0.3922    0.2569
0.3929    0.2569
0.3937    0.2569
0.3944    0.3083
0.3951    0.3083
0.3958    0.3083
0.3966    0.3083
0.3973    0.3083
0.3980    0.3083
0.3988    0.3670
0.3995    0.3670
0.4002    0.3670
0.4010    0.3670
0.4017    0.3670
0.4024    0.3670
0.4032    0.3670
0.4039    0.4917
0.4046    0.4917
0.4054    0.4917
0.4061    0.4917
0.4068    0.4917
0.4075    0.4917
0.4083    0.4917
0.4090    1.5413
0.4097    1.5413
0.4105    1.5413
0.4112    1.5413
0.4119    1.5413
0.4127    0.5872
0.4134    0.5872
0.4141    0.5872
0.4149    0.5872
0.4156    0.5872
0.4163    0.5872
0.4171    0.5872
0.4178    0.5651
0.4185    0.5651
0.4193    0.5651
0.4200    0.5651
0.4207    0.5651
0.4214    0.5651
0.4222    0.5651
0.4229    0.5651
0.4236    0.6165
0.4244    0.6165
0.4251    0.6165
0.4258    0.6165
0.4266    0.6165
0.4273    0.6165
0.4280    0.6165
0.4288    0.6752
0.4295    0.6752
0.4302    0.6752
0.4310    0.6752
0.4317    0.6752
0.4324    0.6752
0.4332    0.6752
0.4339    0.7339
0.4346    0.7339
0.4353    0.7339
0.4361    0.7339
0.4368    0.7339
0.4375    0.7339
0.4383    3.5156
0.4390    3.5156
0.4397    3.5156
0.4405    3.5156
0.4412    3.5156
0.4419    3.5156
0.4427    1.3945
0.4434    1.3945
0.4441    1.3945
0.4449    1.3945
0.4456    1.3945
0.4463    1.3945
0.4470    0.9101
0.4478    0.9101
0.4485    0.9101
0.4492    0.9101
0.4500    0.9101
0.4507    0.9101
0.4514    0.9101
0.4522    0.9101
0.4529    0.9101
0.4536    0.9615
0.4544    0.9615
0.4551    0.9615
0.4558    0.9615
0.4566    0.9615
0.4573    0.9615
0.4580    0.9615
0.4588    1.0055
0.4595    1.0055
0.4602    1.0055
0.4609    1.0055
0.4617    1.0055
0.4624    1.0055
0.4631    1.0422
0.4639    1.0422
0.4646    1.0422
0.4653    1.0422
0.4661    1.0422
0.4668    1.0422
0.4675    1.0422
0.4683    1.0716
0.4690    1.0716
0.4697    1.0716
0.4705    1.0716
0.4712    1.0716
0.4719    1.0716
0.4726    1.0716
0.4734    1.0936
0.4741    1.0936
0.4748    1.0936
0.4756    1.0936
0.4763    1.0936
0.4770    1.0936
0.4778    1.0936
0.4785    1.1083
0.4792    1.1083
0.4800    1.1083
0.4807    1.1083
0.4814    1.1083
0.4822    1.1083
0.4829    1.1156
